original_stimulus_label,english_stimulus_label,stimulus_novelty,stimulus_image_path,lab_stimulus_id,dataset_id,stimulus_id
clean,clean,familiar,clean.mp4,clean_can-clean,0,0
cline,cline,novel,clean.mp4,clean_can-cline,0,1
NA,NA,NA,clean.mp4,clean_distractor,0,2
drink,drink,familiar,drink.mp4,drink_about-drink,0,3
droink,droink,novel,drink.mp4,drink_about-droink,0,4
NA,NA,NA,drink.mp4,drink_distractor,0,5
joomp,joomp,novel,jump.mp4,jump_can-joomp,0,6
jump,jump,familiar,jump.mp4,jump_can-jump,0,7
NA,NA,NA,jump.mp4,jump_distractor,0,8
kiss,kiss,familiar,kiss.mp4,kiss_about-kiss,0,9
koss,koss,novel,kiss.mp4,kiss_about-koss,0,10
NA,NA,NA,kiss.mp4,kiss_distractor,0,11
read,read,familiar,read.mp4,read_can-read,0,12
rowd,rowd,novel,read.mp4,read_can-rowd,0,13
NA,NA,NA,read.mp4,read_distractor,0,14
roan,roan,novel,run.mp4,run_can-roan,0,15
run,run,familiar,run.mp4,run_can-run,0,16
NA,NA,NA,run.mp4,run_distractor,0,17
NA,NA,NA,throw.mp4,throw_distractor,0,18
thraw,thraw,novel,throw.mp4,throw_gonna-thraw,0,19
throw,throw,familiar,throw.mp4,throw_gonna-throw,0,20
NA,NA,NA,walk.mp4,walk_distractor,0,21
walk,walk,familiar,walk.mp4,walk_gonna-walk,0,22
wick,wick,novel,walk.mp4,walk_gonna-wick,0,23
