original_stimulus_label,english_stimulus_label,stimulus_novelty,image_description,image_description_source,stimulus_image_path,lab_stimulus_id,dataset_id,stimulus_id,stimulus_aux_data
clean,clean,familiar,clean,image path,clean.mp4,clean_can-clean,0,0,NA
cline,cline,novel,clean,image path,clean.mp4,clean_can-cline,0,1,NA
NA,NA,familiar,clean,image path,clean.mp4,clean_distractor,0,2,NA
drink,drink,familiar,drink,image path,drink.mp4,drink_about-drink,0,3,NA
droink,droink,novel,drink,image path,drink.mp4,drink_about-droink,0,4,NA
NA,NA,familiar,drink,image path,drink.mp4,drink_distractor,0,5,NA
joomp,joomp,novel,jump,image path,jump.mp4,jump_can-joomp,0,6,NA
jump,jump,familiar,jump,image path,jump.mp4,jump_can-jump,0,7,NA
NA,NA,familiar,jump,image path,jump.mp4,jump_distractor,0,8,NA
kiss,kiss,familiar,kiss,image path,kiss.mp4,kiss_about-kiss,0,9,NA
koss,koss,novel,kiss,image path,kiss.mp4,kiss_about-koss,0,10,NA
NA,NA,familiar,kiss,image path,kiss.mp4,kiss_distractor,0,11,NA
read,read,familiar,read,image path,read.mp4,read_can-read,0,12,NA
rowd,rowd,novel,read,image path,read.mp4,read_can-rowd,0,13,NA
NA,NA,familiar,read,image path,read.mp4,read_distractor,0,14,NA
roan,roan,novel,run,image path,run.mp4,run_can-roan,0,15,NA
run,run,familiar,run,image path,run.mp4,run_can-run,0,16,NA
NA,NA,familiar,run,image path,run.mp4,run_distractor,0,17,NA
NA,NA,familiar,throw,image path,throw.mp4,throw_distractor,0,18,NA
thraw,thraw,novel,throw,image path,throw.mp4,throw_gonna-thraw,0,19,NA
throw,throw,familiar,throw,image path,throw.mp4,throw_gonna-throw,0,20,NA
NA,NA,familiar,walk,image path,walk.mp4,walk_distractor,0,21,NA
walk,walk,familiar,walk,image path,walk.mp4,walk_gonna-walk,0,22,NA
wick,wick,novel,walk,image path,walk.mp4,walk_gonna-wick,0,23,NA
